apartment_id,apartment_name,gu,legal_dong,latitude,longitude,final_local_market_id,final_local_market_name,market_definition_type,local_market_confidence,assignment_stability,algorithm_cluster,hierarchical_cluster,market_size_apartments,market_transactions_12m,dominant_legal_dong,dominant_dong_share,spatial_fragmentation_flag,low_sample_flag,data_quality_flag,cluster_algorithm_reference
A10026360,동래동일스위트,동래구,명장동,35.2134812754542,129.094163965264,LM033,동래구|명장동,LEGAL_DONG,HIGH,1.0,0.0,0.0,2.0,132.0,명장동,1.0,False,True,LOW_SAMPLE,KMEANS_K3_SEED20260911
A10026363,개금역금강펜테리움더스퀘어아파트,부산진구,개금동,35.1528383260911,129.021227204738,LM039,부산진구|개금동,LEGAL_DONG,HIGH,1.0,0.0,0.0,8.0,361.0,개금동,1.0,False,True,LOW_SAMPLE,KMEANS_K3_SEED20260911
A10026391,더블유,남구,용호동,35.1342294576999,129.111216765972,LM025,남구|용호동,LEGAL_DONG,MEDIUM,1.0,1.0,0.0,9.0,715.0,용호동,1.0,False,False,OK,KMEANS_K3_SEED20260911
A10026445,부산명지중흥S-클래스에듀오션,강서구,명지동,35.1012700104038,128.920855108103,LM001,강서구|명지동,LEGAL_DONG,HIGH,1.0,0.0,0.0,22.0,1081.0,명지동,1.0,False,False,OK,KMEANS_K3_SEED20260911
A10026452,대연롯데캐슬레전드1단지,남구,대연동,35.1351592669846,129.080302708807,LM022,남구|대연동,LEGAL_DONG,HIGH,1.0,1.0,1.0,12.0,982.0,대연동,1.0,False,False,OK,KMEANS_K3_SEED20260911
A10026484,해운대자이2차1단지,해운대구,우동,35.1683485565665,129.142766503431,LM089,해운대구|우동,LEGAL_DONG,HIGH,1.0,1.0,1.0,19.0,766.0,우동,1.0,False,False,OK,KMEANS_K3_SEED20260911
A10026557,센텀리슈빌2단지,해운대구,재송동,35.1914835593563,129.115888825499,LM090,해운대구|재송동,LEGAL_DONG,MEDIUM,1.0,1.0,0.0,11.0,498.0,재송동,1.0,False,False,OK,KMEANS_K3_SEED20260911
A10026651,e편한세상사하2차,사하구,구평동,35.0827778603371,128.984491722497,LM062,사하구|구평동,LEGAL_DONG,HIGH,1.0,0.0,0.0,3.0,118.0,구평동,1.0,False,True,LOW_SAMPLE,KMEANS_K3_SEED20260911
A10026746,오션브릿지,동구,범일동,35.1334492882699,129.059079172546,LM027,동구|범일동,LEGAL_DONG,HIGH,1.0,0.0,0.0,4.0,179.0,범일동,1.0,False,True,LOW_SAMPLE,KMEANS_K3_SEED20260911
A10026760,센텀비스타동원,수영구,민락동,35.1672489290806,129.120800367051,LM078,수영구|민락동,LEGAL_DONG,HIGH,1.0,1.0,1.0,5.0,219.0,민락동,1.0,False,True,LOW_SAMPLE,KMEANS_K3_SEED20260911
A10026780,래미안장전,금정구,장전동,35.2275922774064,129.086740141721,LM007,금정구|장전동,LEGAL_DONG,HIGH,1.0,1.0,1.0,5.0,363.0,장전동,1.0,False,True,LOW_SAMPLE,KMEANS_K3_SEED20260911
A10026813,정관 엘에이치 7단지,기장군,정관읍,35.3369209641856,129.168752600504,,,,,,,,,,,,,,INSUFFICIENT_CLUSTER_FEATURES,KMEANS_K3_SEED20260911
A10026861,서면동일파크스위트3차,부산진구,부암동,35.165417735262,129.045944837845,LM043,부산진구|부암동,LEGAL_DONG,HIGH,1.0,0.0,0.0,12.0,426.0,부암동,1.0,False,False,OK,KMEANS_K3_SEED20260911
A10026865,동부산관광단지삼정그린코아더베스트,기장군,기장읍내리,35.2040536747351,129.207169705909,LM010,기장군|기장읍내리,LEGAL_DONG,HIGH,1.0,0.0,0.0,1.0,16.0,기장읍내리,1.0,False,True,LOW_SAMPLE,KMEANS_K3_SEED20260911
A10026902,연산동일동미라주더스타,연제구,연산동,35.1906164745463,129.087915053233,LM081,연제구|연산동,LEGAL_DONG,HIGH,1.0,0.0,0.0,16.0,1001.0,연산동,1.0,False,False,OK,KMEANS_K3_SEED20260911
A10026975,주례경동리인,사상구,주례동,35.1557931167053,128.995991051558,LM058,사상구|주례동,LEGAL_DONG,HIGH,1.0,0.0,0.0,9.0,271.0,주례동,1.0,False,True,LOW_SAMPLE,KMEANS_K3_SEED20260911
A10027026,지사과학삼정그린코아,강서구,지사동,35.1518194278834,128.839600768448,LM003,강서구|지사동,LEGAL_DONG,HIGH,1.0,2.0,2.0,3.0,179.0,지사동,1.0,False,True,LOW_SAMPLE,KMEANS_K3_SEED20260911
A10027052,서면DS·협성엘리시안아파트,부산진구,범천동,35.1447760706214,129.053401969117,LM042,부산진구|범천동,LEGAL_DONG,HIGH,1.0,0.0,0.0,5.0,198.0,범천동,1.0,False,True,LOW_SAMPLE,KMEANS_K3_SEED20260911
A10027054,사직롯데캐슬더클래식,동래구,사직동,35.1979263670697,129.066736914666,LM035,동래구|사직동,LEGAL_DONG,HIGH,1.0,1.0,1.0,9.0,540.0,사직동,1.0,False,False,OK,KMEANS_K3_SEED20260911
A10027085,센텀리버SKVIEW,연제구,연산동,35.1837740022009,129.113720499138,LM081,연제구|연산동,LEGAL_DONG,MEDIUM,1.0,1.0,0.0,16.0,1001.0,연산동,1.0,False,False,OK,KMEANS_K3_SEED20260911
A10027139,명지국제신도시호반베르디움2차,강서구,명지동,35.1023779782121,128.920192998502,LM001,강서구|명지동,LEGAL_DONG,HIGH,1.0,0.0,0.0,22.0,1081.0,명지동,1.0,False,False,OK,KMEANS_K3_SEED20260911
A10027159,브라운스톤연제2단지,연제구,연산동,35.1781292696525,129.077732458495,LM081,연제구|연산동,LEGAL_DONG,MEDIUM,0.82,0.0,0.0,16.0,1001.0,연산동,1.0,False,False,OK,KMEANS_K3_SEED20260911
A10027236,사하뷰웰,사하구,신평동,35.0913816382854,128.969170494542,LM065,사하구|신평동,LEGAL_DONG,HIGH,1.0,0.0,0.0,6.0,195.0,신평동,1.0,False,True,LOW_SAMPLE,KMEANS_K3_SEED20260911
A10027280,명지협성휴포레,강서구,명지동,35.1075308265119,128.921120157931,LM001,강서구|명지동,LEGAL_DONG,HIGH,1.0,0.0,0.0,22.0,1081.0,명지동,1.0,False,False,OK,KMEANS_K3_SEED20260911
A10027282,부산명지중흥S-클래스프라디움,강서구,명지동,35.0964045540988,128.916710287675,LM001,강서구|명지동,LEGAL_DONG,HIGH,1.0,0.0,0.0,22.0,1081.0,명지동,1.0,False,False,OK,KMEANS_K3_SEED20260911
A10027306,e편한세상사하,사하구,구평동,35.0809670275315,128.986262867272,LM062,사하구|구평동,LEGAL_DONG,HIGH,1.0,0.0,0.0,3.0,118.0,구평동,1.0,False,True,LOW_SAMPLE,KMEANS_K3_SEED20260911
A10027325,구서SKVIEW1단지,금정구,구서동,35.2438418119491,129.085571678272,LM005,금정구|구서동,LEGAL_DONG,MEDIUM,1.0,1.0,0.0,7.0,250.0,구서동,1.0,False,True,LOW_SAMPLE,KMEANS_K3_SEED20260911
A10027340,전포LH아파트,부산진구,전포동,35.1681043713671,129.066646480679,,,,,,,,,,,,,,INSUFFICIENT_CLUSTER_FEATURES,KMEANS_K3_SEED20260911
A10027341,사직KCC스위첸1단지,동래구,사직동,35.2008818394607,129.057074696685,LM035,동래구|사직동,LEGAL_DONG,HIGH,1.0,1.0,1.0,9.0,540.0,사직동,1.0,False,False,OK,KMEANS_K3_SEED20260911
A10027503,정관양우내안愛,기장군,정관읍용수리,35.329047160766,129.179471975619,LM020,기장군|정관읍용수리,LEGAL_DONG,HIGH,1.0,2.0,2.0,6.0,224.0,정관읍용수리,1.0,False,True,LOW_SAMPLE,KMEANS_K3_SEED20260911
A10027581,명지대방노블랜드오션뷰2차,강서구,명지동,35.0953281798622,128.91917534047,LM001,강서구|명지동,LEGAL_DONG,HIGH,1.0,0.0,0.0,22.0,1081.0,명지동,1.0,False,False,OK,KMEANS_K3_SEED20260911
A10027621,명지2차금강펜테리움센트럴파크,강서구,명지동,35.1042150316068,128.919193763803,LM001,강서구|명지동,LEGAL_DONG,HIGH,1.0,0.0,0.0,22.0,1081.0,명지동,1.0,False,False,OK,KMEANS_K3_SEED20260911
