apartment_id,apartment_name,legal_dong,gu,household_count,elementary_school_name,school_premium_core_score,school_premium_confidence,representative_area_m2,recent_market_price,baseline_expected_price,school_adjusted_expected_price,estimated_school_premium_pct,estimated_school_premium_amount,model_uncertainty_pct,transaction_count,price_window_used,as_of_date,data_quality_flag
A61274213,롯데,우동,해운대구,852.0,해림초등학교,72.85044150110376,B,84.84,681000000.0,597310747.6007605,658113457.53471,10.179409993571698,60802709.93394959,4.96523907158497,16.0,6M,2026-08-28,OK
A61274508,동부올림픽타운,우동,해운대구,1680.0,해림초등학교,72.85044150110376,B,84.96,920000000.0,724736750.9524002,798510676.205936,10.179409993571742,73773925.25353575,4.96523907158497,38.0,6M,2026-08-28,OK
A61286810,반도보라빌,우동,해운대구,548.0,해림초등학교,72.85044150110376,B,84.9073,620000000.0,732410261.7836571,806965305.1656079,10.179409993571786,74555043.38195086,4.96523907158497,14.0,6M,2026-08-28,OK
A61206118,메가센텀한화꿈에그린,반여동,해운대구,1564.0,장산초등학교,72.56655629139073,B,92.9883,554500000.0,470902040.4990656,518212607.703509,10.046795965102051,47310567.204443395,4.96523907158497,28.0,6M,2026-08-28,OK
A61272011,현대그린맨션,반여동,해운대구,600.0,장산초등학교,72.56655629139073,B,76.35,280500000.0,220836637.87918657,243023644.30309972,10.046795965102051,22187006.42391315,4.96523907158497,3.0,6M,2026-08-28,OK
A61281117,센텀대림,반여동,해운대구,1500.0,장산초등학교,72.56655629139073,B,59.99,242500000.0,245325610.63623846,269972974.187002,10.046795965102051,24647363.550763547,4.96523907158497,28.0,6M,2026-08-28,OK
A60931207,구서동롯데캐슬골드2단지(1049),구서동,금정구,1926.0,두실초등학교,72.37748344370861,B,84.98,489000000.0,512384861.41494167,563411020.9800916,9.958561114440823,51026159.5651499,4.729117403510921,28.0,6M,2026-08-28,OK
A60971101,구서동롯데캐슬골드1단지(1051),구서동,금정구,1728.0,두실초등학교,72.37748344370861,B,90.7,530500000.0,505343527.87909937,555668471.9408107,9.958561114440801,50324944.06171131,4.729117403510921,32.0,6M,2026-08-28,OK
A10023440,힐스테이트사하역,괴정동,사하구,1314.0,사남초등학교,72.3003863134658,B,84.921,604000000.0,572810529.7261683,629648241.1742529,9.922602413621107,56837711.44808459,4.729117403510921,34.0,6M,2026-08-28,OK
A61996111,정관2차동원로얄듀크,정관읍매학리,기장군,1249.0,정관초등학교,72.22753863134659,B,84.999,338000000.0,331422402.60878134,364195559.2603768,9.88863649337599,32773156.651595473,4.729117403510921,25.0,6M,2026-08-28,OK
A61996306,정관신도시한진해모로,정관읍용수리,기장군,763.0,정관초등학교,72.22753863134659,B,122.9131,410000000.0,358613985.16177577,394076018.56883305,9.88863649337599,35462033.407057285,4.729117403510921,15.0,6M,2026-08-28,OK
A10028191,감전엘에이치,감전동,사상구,622.0,감전초등학교,71.6083885209713,B,,,,,,,,,,2026-08-28,OK
