apartment_id,apartment_name,gu,legal_dong,household_count,elementary_school_name,primary_market,fallback_level,fallback_market_name,school_premium_core_score,estimated_school_premium_pct,school_premium_confidence,representative_area_m2,recent_6m_market_price,recent_12m_market_price,transaction_count_6m,transaction_count_12m,comparable_apartment_count,comparable_transaction_count,local_fair_price_per_m2,local_fair_total_price,fair_price_lower,fair_price_upper,prediction_interval_width_pct,selected_model_type,local_model_rmse,local_model_mae,recent_local_residual,residual_volatility,model_confidence,low_sample_flag,fallback_flag,data_quality_flag
A10023625,e편한세상시민공원2단지,부산진구,전포동,1401.0,성전초등학교,부산진구|전포동,0,부산진구|전포동,53.49387417218543,1.4932674751597652,B,74.5149,9179738.236356556,8991490.292545518,56,127,6,1593,8651573.71897094,644671150.5117476,7129095.405149246,10499190.08808968,38.95354524403556,F_S,0.09875351147744114,0.07281174145558618,0.0461402293369062,0.08862244353629899,HIGH,False,False,OK
A10023627,가야롯데캐슬골드아너,부산진구,가야동,935.0,가야초등학교,부산진구|가야동,1,부산진구|가야동;부산진구|초읍동,62.1960816777042,5.310210775141577,B,59.9937,10388383.701001458,9998630.948223056,32,82,5,948,7067481.591199758,424004370.3379609,4406519.494590219,11335317.159783147,98.03771790251967,F_S,0.24103013177016724,0.1824645800248972,0.36595132390258733,0.07767433138672498,MEDIUM,True,True,OK
A10023647,센텀KCC스위첸,해운대구,반여동,638.0,무정초등학교,해운대구|반여동,0,해운대구|반여동,75.30364238410596,11.332075238285611,B,84.91,7761158.874101991,7771622.037550015,17,39,12,3261,6606418.096168612,560950960.5456768,4425178.961631822,9862823.727537975,82.308517062517,F_S,0.2044545379514155,0.15940741583923146,0.16808385306691598,0.040831516137113645,HIGH,False,False,OK
A10023684,포레나부산덕천1차,북구,덕천동,636.0,덕성초등학교,북구|덕천동,0,북구|덕천동,67.33973509933774,7.633466263367361,A,74.5539,8018998.416445564,7965587.083893242,36,60,5,1035,7152656.294013378,533258422.078244,5048674.039787473,10133451.210576238,71.0893542451441,F_S,0.17773375251711676,0.1439222962375012,0.09130262270489009,0.05637875914644084,HIGH,False,False,OK
A10023692,웨이브리즈,기장군,기장읍청강리,728.0,대청초등학교,기장군|기장읍청강리,1,기장군|기장읍서부리;기장군|기장읍청강리,65.05954746136865,6.597306290749505,B,55.99,4509733.881050187,4600766.794465744,20,39,4,806,6243264.594794103,349560384.66252184,3892626.643853049,10013380.775205161,98.03771790251939,F_S,0.24103013177016724,0.1824645800248972,-0.31193681136315377,0.06803116184212248,MEDIUM,True,True,OK
A10023704,대신해모로센트럴아파트,서구,서대신동2가,733.0,대신초등학교,서구|서대신동2가,1,서구|동대신동3가;서구|서대신동1가;서구|서대신동2가;서구|서대신동3가;서구|아미동2가,66.23658940397351,7.130924553026441,B,76.5236,7556859.493649121,7448682.497948345,32,61,5,1034,7298980.553007265,558544268.2461067,4550857.286633764,11706611.250950774,98.03771790251936,F_S,0.24103013177016724,0.1824645800248972,0.0385400799969009,0.05878835977926323,MEDIUM,True,True,OK
A10023725,백양산베스티움에코포레,북구,만덕동,593.0,백양초등학교,북구|만덕동,0,북구|만덕동,40.07654525386313,-4.122503747164741,A,84.9543,3760845.536953397,3766980.5817151433,12,19,12,3341,4846625.635330155,411741688.21152854,3599064.275569622,6526635.328101139,60.40431576127065,F_S,0.15184123943384592,0.11862022515255784,-0.26937846699344803,0.06579992416416568,HIGH,False,False,OK
A10023750,e편한세상서면더센트럴,부산진구,범천동,998.0,선암초등학교,부산진구|범천동,0,부산진구|범천동,67.25629139072848,7.59537092725393,B,69.9964,7273942.806564909,7050331.389178945,43,82,4,915,6658699.788084323,466085013.84666544,5231966.277721985,8474497.065592563,48.69615527152995,F_S,0.12302911721125576,0.0885500114316533,0.06529873056742641,0.1119637003680378,MEDIUM,False,False,OK
A10023778,이지더원2차포레온아파트,기장군,일광읍,786.0,해빛초등학교,기장군|일광읍,1,기장군|일광읍;기장군|정관읍모전리,75.63647902869756,,B,,,,0,0,6,2297,,,,,,INSUFFICIENT_FEATURES,,,,,LOW,True,True,INSUFFICIENT_MODEL_FEATURES
A10023781,힐스테이트명륜트라디움,동래구,명륜동,874.0,교동초등학교,동래구|명륜동,0,동래구|명륜동,75.1171633554084,11.244033972227909,B,84.9309,12098886.031553611,11267983.737367673,7,35,4,1449,10864922.730198478,922767665.9062139,8803302.474343734,13409347.94382192,42.39372505315593,F_S,0.10735335184448266,0.07974010601338648,0.006728668626820422,0.05998894899541505,MEDIUM,False,False,OK
