target_apartment_id,target_apartment_name,comparable_rank,comparable_apartment_id,comparable_apartment_name,same_legal_dong,fallback_level,age_difference,household_difference,area_difference,school_score_difference,similarity_distance,comparable_transaction_count
A10023544,센트럴스타힐스,4,A61776104,반도보라,False,1,26,332.0,0.11260000000000048,12.465480132450324,0.7094454535560735,349.0
A10023544,센트럴스타힐스,5,A61783202,엘지신주례2,False,1,26,0.0,0.022600000000004172,12.465480132450324,0.712611803227006,264.0
A10023571,주례롯데캐슬골드스마트,1,A10026975,주례경동리인,True,0,6,159.0,10.348399999999998,0.0,0.28226222710495347,279.0
A10023571,주례롯데캐슬골드스마트,2,A61701002,한일유엔아이,True,0,18,10.0,0.5157999999999987,24.851821192052974,0.5793821138369281,328.0
A10023571,주례롯데캐슬골드스마트,3,A61778608,주례청구,True,0,21,167.0,0.034199999999998454,0.0,0.5871643000386042,202.0
A10023571,주례롯데캐슬골드스마트,4,A61783202,엘지신주례2,True,0,26,124.0,24.9058,21.455656732891825,0.8458151972481187,264.0
A10023571,주례롯데캐슬골드스마트,5,A61783203,엘지신주례1,True,0,26,45.0,24.9058,18.059492273730683,0.8870627982248489,232.0
A10023607,더샵남천프레스티지,1,A10023420,남천자이,True,0,0,62.0,0.8551999999999964,23.969812362030908,0.4258554095109997,112.0
A10023607,더샵남천프레스티지,2,A61381903,뉴비치,True,0,37,15.0,8.708600000000004,0.0,1.086999973373456,208.0
A10023607,더샵남천프레스티지,3,A61381805,코오롱하늘채골든비치,True,0,14,12.0,41.371399999999994,23.969812362030908,1.475048629399254,208.0
A10023607,더샵남천프레스티지,4,A61301003,삼익비치,True,0,43,2085.0,10.208600000000004,23.969812362030908,1.590078215184479,1016.0
A10023616,래미안어반파크2단지,1,A61478901,연지자이2차,True,0,11,1605.0,0.061499999999995225,0.0,0.8680259928683226,374.0
A10023616,래미안어반파크2단지,2,A61486005,연지자이,True,0,15,2069.0,0.03839999999999577,0.0,1.4000954790347353,159.0
A10023616,래미안어반파크2단지,3,A61486008,세동한신,True,0,27,1827.0,0.12000000000000455,0.0,1.4628017992994127,196.0
A10023616,래미안어반파크2단지,4,A61485906,연지2청구,True,0,20,2062.0,24.964999999999996,0.0,1.5914242056120682,184.0
A10023616,래미안어반파크2단지,5,A61478807,화인,True,0,27,1962.0,25.14,0.0,1.7833438644614978,179.0
A10023625,e편한세상시민공원2단지,1,A10024602,서면아이파크1단지,True,0,2,743.0,1.9313999999999965,5.586479028697568,0.4120179840656923,624.0
A10023625,e편한세상시민공원2단지,2,A61404007,서면롯데캐슬스카이,True,0,18,6.0,14.571099999999994,0.0,0.7060808472977198,405.0
A10023625,e편한세상시민공원2단지,3,A61404006,서면한신,True,0,25,696.0,10.465100000000007,0.0,0.9561851272314031,177.0
A10023625,e편한세상시민공원2단지,4,A61486301,한라비발디,True,0,18,890.0,10.455700000000007,5.586479028697568,1.006241413240938,121.0
A10023625,e편한세상시민공원2단지,5,A61404203,서면대우디오빌2,True,0,18,650.0,45.9349,0.0,1.9721056023146815,170.0
A10023627,가야롯데캐슬골드아너,1,A10022574,초읍하늘채포레스원,False,1,1,179.0,0.00030000000000285354,1.042549668874173,0.20269303199727406,22.0
A10023627,가야롯데캐슬골드아너,2,A10020213,가야역롯데캐슬스카이엘,True,1,3,210.0,0.12549999999999528,16.10866445916116,0.6196969645924331,1.0
