middle_school_id,middle_school_name,requested_year,observed_year,availability,eligible_for_scoring,manual_review,review_reason,source_document
S020001204,경일중학교,2024,,not_published,False,True,official_page_reports_no_data,data\raw\advancement\2024\S020001204.html
S020001205,구남중학교,2024,2024.0,available,True,False,,data\raw\advancement\2024\S020001205.html
S020001207,구포중학교,2024,2024.0,available,True,False,,data\raw\advancement\2024\S020001207.html
S020001208,금곡중학교,2024,2024.0,available,True,False,,data\raw\advancement\2024\S020001208.html
S020001210,낙동중학교,2024,2024.0,available,True,False,,data\raw\advancement\2024\S020001210.html
S020001211,녹산중학교,2024,2024.0,available,True,False,,data\raw\advancement\2024\S020001211.html
S020001212,대저중학교,2024,2024.0,available,True,False,,data\raw\advancement\2024\S020001212.html
S020001213,대천리중학교,2024,2024.0,available,True,False,,data\raw\advancement\2024\S020001213.html
S020001214,덕문중학교,2024,2024.0,available,True,False,,data\raw\advancement\2024\S020001214.html
S020001215,덕천여자중학교,2024,,not_published,False,True,official_page_reports_no_data,data\raw\advancement\2024\S020001215.html
S020001216,덕천중학교,2024,2024.0,available,True,False,,data\raw\advancement\2024\S020001216.html
S020001217,덕포여자중학교,2024,2024.0,available,True,False,,data\raw\advancement\2024\S020001217.html
S020001218,동주중학교,2024,2024.0,available,True,False,,data\raw\advancement\2024\S020001218.html
S020001219,만덕중학교,2024,2024.0,available,True,False,,data\raw\advancement\2024\S020001219.html
S020001221,모라중학교,2024,2024.0,available,True,False,,data\raw\advancement\2024\S020001221.html
S020001222,백양중학교,2024,2024.0,available,True,False,,data\raw\advancement\2024\S020001222.html
S020001223,사상중학교,2024,,not_published,False,True,official_page_reports_no_data,data\raw\advancement\2024\S020001223.html
S020001224,삼락중학교,2024,,not_published,False,True,official_page_reports_no_data,data\raw\advancement\2024\S020001224.html
S020001225,양덕여자중학교,2024,2024.0,available,True,False,,data\raw\advancement\2024\S020001225.html
S020001226,엄궁중학교,2024,2024.0,available,True,False,,data\raw\advancement\2024\S020001226.html
S020001227,용수중학교,2024,2024.0,available,True,False,,data\raw\advancement\2024\S020001227.html
S020001229,주감중학교,2024,2024.0,available,True,False,,data\raw\advancement\2024\S020001229.html
S020001230,주례여자중학교,2024,2024.0,available,True,False,,data\raw\advancement\2024\S020001230.html
S020001231,주례중학교,2024,2024.0,available,True,False,,data\raw\advancement\2024\S020001231.html
S020001232,학장중학교,2024,2024.0,available,True,False,,data\raw\advancement\2024\S020001232.html
S020001233,화명중학교,2024,2024.0,available,True,False,,data\raw\advancement\2024\S020001233.html
S020001234,화신중학교,2024,2024.0,available,True,False,,data\raw\advancement\2024\S020001234.html
S020001399,감천중학교,2024,2024.0,available,True,False,,data\raw\advancement\2024\S020001399.html
S020001400,건국중학교,2024,2024.0,available,True,False,,data\raw\advancement\2024\S020001400.html
S020001401,경남중학교,2024,2024.0,available,True,False,,data\raw\advancement\2024\S020001401.html
S020001403,남도여자중학교,2024,2024.0,available,True,False,,data\raw\advancement\2024\S020001403.html
S020001405,다대중학교,2024,2024.0,available,True,False,,data\raw\advancement\2024\S020001405.html
S020001406,다선중학교,2024,2024.0,available,True,False,,data\raw\advancement\2024\S020001406.html
