audit_segment,apartment_id,apartment_name,legal_dong,sigungu,household_count,elementary_name,school_premium_core_score,school_premium_confidence,recent_market_price,residual_premium,transaction_count,has_guaranteed_assignment,sanity_flag,sanity_reason
RESIDUAL_BOTTOM_30,A61283410,장산동국,재송동,해운대구,536.0,반산초등학교,47.1682119205298,B,118500000.0,-0.9250740412312188,6,0.0,True,PRICE_OUTLIER
RESIDUAL_BOTTOM_30,A61381805,코오롱하늘채골든비치,남천동,수영구,987.0,광남초등학교,53.67406181015453,B,1040000000.0,-0.6493273266230393,15,0.0,True,PRICE_OUTLIER
RESIDUAL_BOTTOM_30,A61477302,서면노르웨이아침,전포동,부산진구,512.0,성북초등학교,47.90739514348786,B,55000000.0,-0.6272225314327091,5,0.0,False,
RESIDUAL_BOTTOM_30,A10023607,더샵남천프레스티지,남천동,수영구,975.0,남천초등학교,77.64387417218543,B,1200000000.0,-0.6205859410096224,25,0.0,False,
RESIDUAL_BOTTOM_30,A61278214,센텀우신골든빌,재송동,해운대구,846.0,신재초등학교,20.46280353200883,B,200000000.0,-0.6154192204281657,15,0.0,False,
RESIDUAL_BOTTOM_30,A60875509,대우그린1,대연동,남구,691.0,대남초등학교,38.21296909492274,B,221000000.0,-0.5989094143270455,4,0.0,False,
RESIDUAL_BOTTOM_30,A60877710,삼익그린,대연동,남구,725.0,대남초등학교,38.21296909492274,B,172000000.0,-0.5704992515671776,14,0.0,False,
RESIDUAL_BOTTOM_30,A61180503,유림아시아드,거제동,연제구,1330.0,거제초등학교,79.81103752759383,B,320000000.0,-0.5162315232657395,29,0.0,False,
RESIDUAL_BOTTOM_30,A60877907,청구,대연동,남구,604.0,대남초등학교,38.21296909492274,B,302500000.0,-0.5051577374069547,4,0.0,False,
RESIDUAL_BOTTOM_30,A61683305,그린숲속아파트,화명동,북구,900.0,대천리초등학교,33.73923841059603,B,120000000.0,-0.47141856305552743,17,1.0,False,
RESIDUAL_BOTTOM_30,A61477806,국제백양,당감동,부산진구,1153.0,개원초등학교,37.058388520971306,B,157000000.0,-0.4426763069402586,21,0.0,False,
RESIDUAL_BOTTOM_30,A61480908,동원화인패밀리,개금동,부산진구,894.0,개원초등학교,37.058388520971306,B,199000000.0,-0.44091672658973735,16,0.0,False,
RESIDUAL_BOTTOM_30,A10023420,남천자이,남천동,수영구,913.0,광남초등학교,53.67406181015453,B,1475000000.0,-0.43848348726581854,14,0.0,False,
RESIDUAL_BOTTOM_30,A61404203,서면대우디오빌2,전포동,부산진구,751.0,성전초등학교,53.49387417218543,B,68000000.0,-0.43140794841214625,9,0.0,False,
RESIDUAL_BOTTOM_30,A60712204,한신,사직동,동래구,710.0,사직초등학교,80.76136865342164,B,205000000.0,-0.39626853075778,11,0.0,False,
RESIDUAL_BOTTOM_30,A61383101,수영협성르네상스타운,수영동,수영구,684.0,망미초등학교,38.459216335540845,B,725000000.0,-0.396188408690179,3,0.0,False,
RESIDUAL_BOTTOM_30,A61282705,센텀센시빌,우동,해운대구,800.0,강동초등학교,65.61307947019867,B,580000000.0,-0.3647248304088677,13,0.0,False,
RESIDUAL_BOTTOM_30,A61477009,개금우드빌,개금동,부산진구,980.0,개원초등학교,37.058388520971306,B,97500000.0,-0.3645938729272711,18,0.0,False,
RESIDUAL_BOTTOM_30,A61673302,삼한힐파크,화명동,북구,807.0,화잠초등학교,61.624392935982335,B,235000000.0,-0.35675884518257384,21,0.0,False,
RESIDUAL_BOTTOM_30,A61485906,연지2청구,연지동,부산진구,554.0,연지초등학교,67.58669977924946,B,206500000.0,-0.35276155878583104,18,0.0,False,
RESIDUAL_BOTTOM_30,A60481703,구평1차자유,구평동,사하구,584.0,구평초등학교,36.72902869757174,B,112000000.0,-0.32730841692192136,9,0.0,False,
RESIDUAL_BOTTOM_30,A61176411,연산엘지,연산동,연제구,2302.0,연천초등학교,69.14166666666668,B,314500000.0,-0.32491585104089715,32,0.0,False,
RESIDUAL_BOTTOM_30,A61482303,백양푸른채,당감동,부산진구,1116.0,동양초등학교;동원초등학교,66.89039735099338,B,120000000.0,-0.32474747302931384,22,0.0,False,
RESIDUAL_BOTTOM_30,A60980506,구서우성,구서동,금정구,1118.0,구서초등학교,66.87472406181016,B,225000000.0,-0.32311957431364213,9,0.0,False,
RESIDUAL_BOTTOM_30,A61679207,도시화명그린(295),화명동,북구,720.0,대천리초등학교,33.73923841059603,B,100000000.0,-0.3114505578027744,17,1.0,False,
RESIDUAL_BOTTOM_30,A10023692,웨이브리즈,기장읍청강리,기장군,728.0,대청초등학교,65.05954746136865,B,259500000.0,-0.30621512891906555,20,0.0,False,
RESIDUAL_BOTTOM_30,A60976502,부곡늘푸른아파트,부곡동,금정구,885.0,동현초등학교,49.04194260485652,B,97000000.0,-0.3019916976087291,11,0.0,False,
RESIDUAL_BOTTOM_30,A61679206,벽산강변타운,화명동,북구,1044.0,화명초등학교,45.28443708609271,B,234000000.0,-0.30140112026141885,11,0.0,False,
RESIDUAL_BOTTOM_30,A10022365,연산포레서희스타힐스,연산동,연제구,612.0,연동초등학교,73.0110927152318,B,519500000.0,-0.2988644080376419,14,0.0,False,
RESIDUAL_BOTTOM_30,A10024005,동래3차SKVIEW,온천동,동래구,999.0,온천초등학교,83.8975165562914,B,504000000.0,-0.2987677324740572,38,0.0,False,
