final_review_class,class_rank,apartment_id,apartment_name,gu,legal_dong,household_count,school_core_score,school_premium_pct,school_value_gap_pct,local_fair_total_price,observed_market_price_12m,local_value_gap_pct,local_gap_interval_status,local_gap_temporal_stability,school_local_signal_agreement,model_confidence,local_gap_confidence,gap_confidence,gap_positive_probability,dong_bias_flag,phase154_audit_priority,model_limitation_flag,unmodeled_premium_candidate,unmodeled_discount_candidate
CORE_CANDIDATE,48,A61279804,센텀SKVIEW아파트,해운대구,반여동,1374.0,64.27847682119204,6.244671660872081,12.730960909909628,340941411.15116763,295000000.0,15.573359712260215,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,DOUBLE_POSITIVE,HIGH,HIGH,MEDIUM,1.0,False,LOW,NONE,False,False
CORE_CANDIDATE,49,A60712001,사직2차삼정그린코아,동래구,사직동,560.0,80.76136865342164,13.939893124115454,48.0926280153876,479361933.4266527,417000000.0,14.954900102314795,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,DOUBLE_POSITIVE,HIGH,HIGH,MEDIUM,1.0,False,LOW,EXTREME_RESIDUAL,False,True
CORE_CANDIDATE,50,A61777409,학장대림,사상구,학장동,825.0,38.87693156732892,-4.609203597751899,25.690931112584444,147835225.96067125,130000000.0,13.719404585131745,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,DOUBLE_POSITIVE,HIGH,HIGH,MEDIUM,1.0,False,LOW,EXTREME_RESIDUAL,False,True
CORE_CANDIDATE,51,A61776907,금강,사상구,학장동,730.0,40.93316777041943,-3.773441164822522,36.7098570905033,154814871.04292667,137500000.0,12.592633485764848,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,DOUBLE_POSITIVE,HIGH,HIGH,MEDIUM,1.0,False,LOW,NONE,False,False
CORE_CANDIDATE,52,A61775401,주공4,사상구,모라동,900.0,40.76456953642384,-3.8422430634247218,13.469843992970889,105505525.34378424,94658837.7723971,11.45871619242518,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,DOUBLE_POSITIVE,HIGH,HIGH,MEDIUM,1.0,False,LOW,NONE,False,False
CORE_CANDIDATE,53,A61610003,롯데,북구,덕천동,705.0,35.35176600441501,-6.025161527512535,37.23970899525324,233690517.047262,210000000.0,11.281198593934285,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,DOUBLE_POSITIVE,HIGH,HIGH,MEDIUM,1.0,False,LOW,NONE,False,False
CORE_CANDIDATE,54,A60876301,일신프리빌리지,남구,용호동,518.0,50.4907284768212,0.2084016529988908,17.41994564855499,341469263.7335244,310808872.5817211,9.864709104706048,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,DOUBLE_POSITIVE,HIGH,HIGH,MEDIUM,1.0,False,LOW,NONE,False,False
CORE_CANDIDATE,55,A60782005,삼정그린코아,동래구,사직동,874.0,80.76136865342164,13.939893124115477,51.52297063412474,255684351.7869396,233126329.87789652,9.676308086202924,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,DOUBLE_POSITIVE,HIGH,HIGH,MEDIUM,1.0,False,LOW,NONE,False,False
CORE_CANDIDATE,56,A61778608,주례청구,사상구,주례동,831.0,58.16153421633554,3.5230580408076806,30.19295754862676,235493629.1479037,216556592.76546088,8.744613193537077,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,DOUBLE_POSITIVE,HIGH,HIGH,MEDIUM,1.0,False,LOW,NONE,False,False
CORE_CANDIDATE,57,A60782701,화목,동래구,안락동,793.0,37.07008830022075,-5.337605845222148,35.77953033604092,372148215.4792892,345183637.43378454,7.811661713159035,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,DOUBLE_POSITIVE,HIGH,HIGH,MEDIUM,1.0,False,LOW,EXTREME_RESIDUAL,False,True
CORE_CANDIDATE,58,A61996110,정관동일스위트2차,기장군,정관읍모전리,1638.0,62.22290286975717,5.322194201711206,9.823847704753142,264308021.0640868,248773564.9308241,6.244415936067127,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,DOUBLE_POSITIVE,HIGH,HIGH,MEDIUM,1.0,False,LOW,NONE,False,False
CORE_CANDIDATE,59,A10026316,동래삼정그린코아포레스트,동래구,온천동,582.0,39.60292494481236,-4.314954014960759,6.176190296085699,537219199.4016104,505680457.16121215,6.236891656333787,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,DOUBLE_POSITIVE,HIGH,HIGH,MEDIUM,1.0,False,LOW,NONE,False,False
CORE_CANDIDATE,60,A60780104,중앙하이츠2,동래구,낙민동,511.0,61.6733995584989,5.076953894670111,18.72676062169515,243960042.76156163,230000000.00000003,6.069583809374612,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,DOUBLE_POSITIVE,HIGH,HIGH,MEDIUM,1.0,False,LOW,NONE,False,False
CORE_CANDIDATE,61,A10024005,동래3차SKVIEW,동래구,온천동,999.0,83.8975165562914,15.465955809686193,32.954245223919784,608927940.0523158,578056997.4434797,5.340466899521368,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,DOUBLE_POSITIVE,HIGH,HIGH,MEDIUM,1.0,False,LOW,NONE,False,False
CORE_CANDIDATE,62,A61784213,구학마을,사상구,학장동,1110.0,38.87693156732892,-4.609203597751899,30.752291037701653,95514868.5091417,77000000.0,24.045283778106107,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,DOUBLE_POSITIVE,HIGH,HIGH,MEDIUM,0.998,False,LOW,EXTREME_RESIDUAL,False,True
CORE_CANDIDATE,63,A60784207,반도보라스카이뷰,동래구,온천동,1149.0,77.53211920529802,12.389600394485466,18.860124832765823,617719256.689435,519391609.7087628,18.93131216266801,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,DOUBLE_POSITIVE,HIGH,HIGH,MEDIUM,0.998,False,LOW,EXTREME_RESIDUAL,False,True
CORE_CANDIDATE,64,A60809003,오륙도에스케이뷰,남구,용호동,3000.0,60.247626931567325,4.443299114637944,19.507946747690845,649887326.465824,598234013.3856663,8.634298940615093,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,DOUBLE_POSITIVE,HIGH,HIGH,MEDIUM,0.996,False,LOW,EXTREME_RESIDUAL,False,True
CORE_CANDIDATE,65,A60883203,용호동일신님(林)Ⅱ,남구,용호동,710.0,50.4907284768212,0.2084016529988908,14.814645120605231,452388961.7972431,371785540.8817245,21.680084901731234,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,DOUBLE_POSITIVE,HIGH,HIGH,MEDIUM,0.994,False,LOW,EXTREME_RESIDUAL,False,True
CORE_CANDIDATE,66,A60976105,선경3,금정구,구서동,795.0,60.11037527593818,4.382502486431306,32.23974858970552,301389280.7747043,267299408.01607424,12.75344117356969,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,DOUBLE_POSITIVE,HIGH,HIGH,MEDIUM,0.994,False,LOW,NONE,False,False
CORE_CANDIDATE,67,A60775605,동래우성,동래구,낙민동,531.0,61.6733995584989,5.076953894670111,15.742035259546544,253157778.5177948,228402769.28356776,10.838313962600443,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,DOUBLE_POSITIVE,HIGH,HIGH,MEDIUM,0.994,False,LOW,NONE,False,False
CORE_CANDIDATE,68,A60475408,국제그린,사하구,다대동,996.0,24.5848233995585,-10.22111631037582,21.033478353713008,84774135.56745344,70000000.0,21.10590795350491,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,DOUBLE_POSITIVE,HIGH,HIGH,MEDIUM,0.986,False,LOW,EXTREME_RESIDUAL,False,True
CORE_CANDIDATE,69,A61477009,개금우드빌,부산진구,개금동,980.0,37.058388520971306,-5.342304268359732,33.479438709836934,107321938.83933736,93084739.80309424,15.294879769078818,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,DOUBLE_POSITIVE,HIGH,HIGH,MEDIUM,0.986,False,LOW,EXTREME_RESIDUAL,False,True
CORE_CANDIDATE,70,A10028117,명지오션시티삼정그린코아,강서구,명지동,610.0,58.46859823399559,3.658003003169563,13.921764613522036,381424901.3984533,349742447.7833295,9.058795641171802,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,DOUBLE_POSITIVE,HIGH,HIGH,MEDIUM,0.976,False,LOW,NONE,False,False
CORE_CANDIDATE,71,A61677608,기비골마을,북구,덕천동,825.0,34.79254966887417,-6.2478430244101375,35.401459588483135,126811879.76421362,107810292.27183077,17.625021778507598,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,DOUBLE_POSITIVE,HIGH,HIGH,MEDIUM,0.97,False,LOW,EXTREME_RESIDUAL,False,True
CORE_CANDIDATE,72,A61996114,동일스위트3차,기장군,정관읍모전리,1500.0,62.76445916114791,5.564447803630412,8.679803447530732,300913853.54405385,285684928.68357086,5.330671425565736,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,DOUBLE_POSITIVE,HIGH,HIGH,MEDIUM,0.966,False,LOW,NONE,False,False
CORE_CANDIDATE,73,A61486008,세동한신,부산진구,연지동,789.0,67.58669977924946,7.74629440984449,26.961008433070766,293925595.77805066,282982974.4616926,3.8668832770500714,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,DOUBLE_POSITIVE,HIGH,HIGH,MEDIUM,0.964,False,LOW,NONE,False,False
