district,legal_dong,apartment_count,transaction_count,fallback_level,model_type,rmse,mae,r2,median_error,bias,school_coefficient,school_effect_direction,model_confidence
수영구,광안동,4,248,1,F,0.32772560881367857,0.29475563594193277,0.5929906183265307,0.08627700442468722,-0.026601183695556398,0.10137589359511523,POSITIVE,MEDIUM
수영구,남천동,5,616,0,F,0.15924854599881097,0.12090464951087343,0.21249059772025258,0.07349543171685724,0.09022294348141836,-0.012054530253895246,NEGATIVE,HIGH
수영구,망미동,4,214,1,F,0.1345002310279544,0.08948260753984248,0.8265260738111551,0.0008095711956430662,-0.026240391996578346,0.10137589359511523,POSITIVE,MEDIUM
수영구,민락동,5,331,0,F,0.12840460955154656,0.0991562658433837,0.6222847950164206,-0.04554676039159844,-0.047830667876273956,0.27726725281319003,POSITIVE,HIGH
수영구,수영동,2,57,1,F,0.24260705470467853,0.22017994844102565,-1.8045813558416834,0.13610865756600177,0.04554766019274328,0.10137589359511523,POSITIVE,MEDIUM
연제구,거제동,10,1051,0,F,0.21657289916096503,0.1708749224255301,0.6638066830263274,0.07950630202159736,0.05055049685441445,0.031345904265122924,POSITIVE,HIGH
연제구,연산동,16,1521,0,F,0.17429111043555584,0.138892839960792,0.4974470545066436,0.005893065124185526,-0.025599859901367088,-0.08210670440985013,NEGATIVE,HIGH
영도구,동삼동,6,291,0,F,0.38074883452804037,0.3300575642488153,0.4318957740295444,-0.2746777158778819,-0.24999075663040732,-0.16279275193483037,NEGATIVE,HIGH
영도구,봉래동2가,1,23,1,F,0.09316830130424923,0.07946006286079943,0.09475160295770968,-0.0661525555252318,-0.06829565407686752,0.10137589359511523,POSITIVE,LOW
영도구,봉래동4가,1,94,2,F,0.10205264119212207,0.07354297562680524,-0.354740402710944,-0.05418102447423934,-0.05223471839994653,0.10137589359511523,POSITIVE,MEDIUM
영도구,영선동4가,1,32,1,F,0.1265717372399027,0.10036183885506517,-1.4458576555646427,-0.08535305495850487,-0.08807107878271841,0.10137589359511523,POSITIVE,MEDIUM
영도구,청학동,2,53,2,F,0.2517047541584279,0.1883712475788885,-0.06813462625858002,-0.050873098133154215,-0.12709561300139577,0.10137589359511523,POSITIVE,MEDIUM
해운대구,반송동,3,95,1,F,0.2685630270928923,0.23799392696672297,-4.321758495515697,-0.24044234310438206,-0.23373645028186102,0.10137589359511523,POSITIVE,MEDIUM
해운대구,반여동,13,788,0,F,0.2150595027586614,0.17648483202385312,0.21432313442821482,-0.11519478456652621,-0.11893748282413881,0.02492802794157111,POSITIVE,HIGH
해운대구,우동,19,1052,0,F,0.2826947576094723,0.21837058432380768,-0.06106206973643613,-0.11452425916005282,-0.1385629046885736,0.03302040626977745,POSITIVE,HIGH
해운대구,재송동,11,717,0,F,0.2712588634602669,0.18099542137616434,0.7715530802511589,0.0036925146801234376,-0.05172857273847186,0.30037696641914946,POSITIVE,HIGH
해운대구,좌동,28,1681,0,F,0.18679752209074757,0.15085721895874385,0.0284305192039791,-0.11932593031948002,-0.12914877957871398,0.07130752272203522,POSITIVE,HIGH
해운대구,중동,5,365,0,F,0.15401903726956448,0.11122502701194303,0.8084820701615025,-0.060435448008579584,-0.07294311099466151,0.08368516316688683,POSITIVE,HIGH
