apartment_id,apartment_name,household_count,sigungu,legal_dong,elementary_name,elementary_demand_score,elementary_percentile,phase7_score,eligible_middle_count,eligible_middle_schools,eligible_middle_score_mean,eligible_middle_score_max,eligible_middle_score_min,eligible_middle_score_range,has_guaranteed_assignment,guaranteed_middle_name,guaranteed_middle_score,guaranteed_middle_is_top_tier,school_premium_core_score,school_premium_addon_score,final_school_premium_score,school_premium_confidence,data_quality_flag,recent_price_per_m2,unusual_flag,unusual_reason,audit_segment
A60784207,반도보라스카이뷰,1149.0,동래구,온천동,금강초등학교,77.53211920529802,89.76660682226212,69.52911764705883,4.0,사직여중;사직중;여명중;온천중,72.78676470588235,94.26470588235294,36.50000000000001,57.764705882352935,0.0,,,0.0,77.53211920529802,0.0,77.53211920529802,B,OK,6114078.849922046,False,,ALL
A10022280,두산위브더제니스센트럴사하,1643.0,사하구,장림동,보림초등학교,77.03780353200882,89.31777378815082,50.26964705882353,5.0,대동중;두송중;영남중;장림여중;장평중,38.95294117647059,53.91176470588235,23.61764705882353,30.29411764705882,0.0,,,0.0,77.03780353200882,0.0,77.03780353200882,B,OK,5873430.901254611,False,,ALL
A60474002,동원로얄듀크,1973.0,사하구,장림동,보림초등학교,77.03780353200882,89.31777378815082,47.76964705882353,5.0,대동중;두송중;영남중;장림여중;장평중,38.95294117647059,53.91176470588235,23.61764705882353,30.29411764705882,0.0,,,0.0,77.03780353200882,0.0,77.03780353200882,B,OK,2196725.7097845254,False,,ALL
A61202007,해운대두산위브더제니스,1788.0,해운대구,우동,해원초등학교,76.8108719646799,88.95870736086175,87.82235294117646,3.0,해강중;해운대여중;해운대중,93.3529411764706,97.70588235294117,89.82352941176471,7.882352941176464,0.0,,,0.0,76.8108719646799,0.0,76.8108719646799,B,OK,14002467.749918887,False,,ALL
A61274013,해운대 I PARK,1631.0,해운대구,우동,해원초등학교,76.8108719646799,88.95870736086175,87.82235294117646,3.0,해강중;해운대여중;해운대중,93.3529411764706,97.70588235294117,89.82352941176471,7.882352941176464,0.0,,,0.0,76.8108719646799,0.0,76.8108719646799,B,OK,12681689.388353087,False,,ALL
A60809002,GS하이츠자이,1149.0,남구,용호동,용문초등학교,76.70408388520971,88.59964093357272,86.5229411764706,2.0,분포중;용호중,90.57352941176471,93.44117647058823,87.70588235294119,5.735294117647044,0.0,,,0.0,76.70408388520971,0.0,76.70408388520971,B,OK,8598188.96228104,False,,ALL
A60809004,엘지메트로시티4-2(230~238),7374.0,남구,용호동,용문초등학교,76.70408388520971,88.59964093357272,85.5229411764706,2.0,분포중;용호중,90.57352941176471,93.44117647058823,87.70588235294119,5.735294117647044,0.0,,,0.0,76.70408388520971,0.0,76.70408388520971,B,OK,5696449.473273508,False,,ALL
A10028145,대연롯데캐슬,564.0,남구,대연동,용소초등학교,76.50546357615895,88.1508078994614,78.75470588235294,2.0,남천중;대천중,79.36764705882352,87.20588235294116,71.52941176470588,15.676470588235276,0.0,,,0.0,76.50546357615895,0.0,76.50546357615895,B,OK,9212072.539166072,False,,ALL
A60802001,대연힐스테이트푸르지오,2304.0,남구,대연동,용소초등학교,76.50546357615895,88.1508078994614,76.75470588235294,2.0,남천중;대천중,79.36764705882352,87.20588235294116,71.52941176470588,15.676470588235276,0.0,,,0.0,76.50546357615895,0.0,76.50546357615895,B,OK,11400808.154469725,False,,ALL
A60874408,부산대연동푸르지오,678.0,남구,대연동,용소초등학교,76.50546357615895,88.1508078994614,76.75470588235294,2.0,남천중;대천중,79.36764705882352,87.20588235294116,71.52941176470588,15.676470588235276,0.0,,,0.0,76.50546357615895,0.0,76.50546357615895,B,OK,6602167.182662539,False,,ALL
A61203013,두산2,632.0,해운대구,좌동,신곡초등학교,75.86605960264902,87.61220825852783,74.34980392156862,3.0,동백중;부흥중;신곡중,75.65686274509805,89.32352941176471,54.23529411764706,35.08823529411765,0.0,,,0.0,75.86605960264902,0.0,75.86605960264902,B,OK,7321691.538417097,False,,ALL
A61203025,벽산1,880.0,해운대구,좌동,신곡초등학교,75.86605960264902,87.61220825852783,74.34980392156862,3.0,동백중;부흥중;신곡중,75.65686274509805,89.32352941176471,54.23529411764706,35.08823529411765,0.0,,,0.0,75.86605960264902,0.0,75.86605960264902,B,OK,8434640.787650794,False,,ALL
A61203026,화목,896.0,해운대구,좌동,신곡초등학교,75.86605960264902,87.61220825852783,74.34980392156862,3.0,동백중;부흥중;신곡중,75.65686274509805,89.32352941176471,54.23529411764706,35.08823529411765,0.0,,,0.0,75.86605960264902,0.0,75.86605960264902,B,OK,7720294.613541574,False,,ALL
A10023283,금호센트럴베이 행복주택 일광,999.0,기장군,일광읍,해빛초등학교,75.63647902869756,86.983842010772,49.39176470588235,1.0,일광중,31.705882352941174,31.705882352941174,31.705882352941174,0.0,0.0,,,0.0,75.63647902869756,0.0,75.63647902869756,B,OK,,False,,ALL
A10023778,이지더원2차포레온아파트,786.0,기장군,일광읍,해빛초등학교,75.63647902869756,86.983842010772,49.39176470588235,1.0,일광중,31.705882352941174,31.705882352941174,31.705882352941174,0.0,0.0,,,0.0,75.63647902869756,0.0,75.63647902869756,B,OK,,False,,ALL
A10023912,일광한신더휴센트럴포레2단지,1298.0,기장군,일광읍삼성리,해빛초등학교,75.63647902869756,86.983842010772,50.39176470588235,1.0,일광중,31.705882352941174,31.705882352941174,31.705882352941174,0.0,0.0,,,0.0,75.63647902869756,0.0,75.63647902869756,B,OK,5617160.425098677,False,,ALL
A10024606,일광대성베르힐,518.0,기장군,일광읍삼성리,해빛초등학교,75.63647902869756,86.983842010772,49.39176470588235,1.0,일광중,31.705882352941174,31.705882352941174,31.705882352941174,0.0,0.0,,,0.0,75.63647902869756,0.0,75.63647902869756,B,OK,5025436.728894038,False,,ALL
A10022405,드파인센텀,750.0,해운대구,반여동,무정초등학교,75.30364238410596,86.26570915619389,59.278823529411774,3.0,반여중;인지중;장산중,53.55882352941177,71.11764705882354,32.73529411764706,38.38235294117648,0.0,,,0.0,75.30364238410596,0.0,75.30364238410596,B,OK,9313879.504405119,False,,ALL
