apartment_id,apartment_name,legal_dong,issue_type,model_confidence,recommended_action
A61872204,부산신호3사랑으로부영3차,신호동,FAIR_PRICE_NOT_AVAILABLE,LOW,Phase 15.3 confidence filter 또는 별도 검토
A61970415,부산기장교리,기장읍,INSUFFICIENT_RECENT_TRANSACTIONS,LOW,Phase 15.3 confidence filter 또는 별도 검토
A61970415,부산기장교리,기장읍,SCHOOL_DATA_LOW_CONFIDENCE,LOW,Phase 15.3 confidence filter 또는 별도 검토
A61970415,부산기장교리,기장읍,FAIR_PRICE_NOT_AVAILABLE,LOW,Phase 15.3 confidence filter 또는 별도 검토
A61987101,고촌휴먼시아,철마면,INSUFFICIENT_RECENT_TRANSACTIONS,LOW,Phase 15.3 confidence filter 또는 별도 검토
A61987101,고촌휴먼시아,철마면,FAIR_PRICE_NOT_AVAILABLE,LOW,Phase 15.3 confidence filter 또는 별도 검토
A61990108,이진캐스빌블루1차,기장읍교리,SCHOOL_DATA_LOW_CONFIDENCE,MEDIUM,Phase 15.3 confidence filter 또는 별도 검토
A61990213,내리 휴먼시아1단지,기장읍,INSUFFICIENT_RECENT_TRANSACTIONS,LOW,Phase 15.3 confidence filter 또는 별도 검토
A61990213,내리 휴먼시아1단지,기장읍,FAIR_PRICE_NOT_AVAILABLE,LOW,Phase 15.3 confidence filter 또는 별도 검토
A61996103,정관신도시휴먼시아2단지,정관읍,INSUFFICIENT_RECENT_TRANSACTIONS,LOW,Phase 15.3 confidence filter 또는 별도 검토
A61996103,정관신도시휴먼시아2단지,정관읍,FAIR_PRICE_NOT_AVAILABLE,LOW,Phase 15.3 confidence filter 또는 별도 검토
A61996105,정관LH4단지,정관읍,INSUFFICIENT_RECENT_TRANSACTIONS,LOW,Phase 15.3 confidence filter 또는 별도 검토
A61996105,정관LH4단지,정관읍,FAIR_PRICE_NOT_AVAILABLE,LOW,Phase 15.3 confidence filter 또는 별도 검토
A61996112,정관신도시LH5단지,정관읍,INSUFFICIENT_RECENT_TRANSACTIONS,LOW,Phase 15.3 confidence filter 또는 별도 검토
A61996112,정관신도시LH5단지,정관읍,FAIR_PRICE_NOT_AVAILABLE,LOW,Phase 15.3 confidence filter 또는 별도 검토
A61996308,정관신도시휴먼시아1단지,정관읍,INSUFFICIENT_RECENT_TRANSACTIONS,LOW,Phase 15.3 confidence filter 또는 별도 검토
A61996308,정관신도시휴먼시아1단지,정관읍,FAIR_PRICE_NOT_AVAILABLE,LOW,Phase 15.3 confidence filter 또는 별도 검토
