class_a_rank,combined_candidate_class,apartment_id,apartment_name,gu,legal_dong,elementary_school_name,local_value_gap_pct,local_gap_interval_status,local_gap_temporal_stability,local_gap_confidence,school_value_gap_pct,gap_confidence,gap_positive_probability,school_local_signal_agreement,strong_dual_positive,model_confidence,fallback_level,extreme_gap_flag,dong_bias_flag
56.0,ROBUST_DUAL_POSITIVE,A61870406,퀸덤1차에디슨타운,강서구,명지동,명호초등학교,13.562686820231296,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,HIGH,22.530594681305946,HIGH,0.998,DOUBLE_POSITIVE,True,HIGH,0,False,False
57.0,ROBUST_DUAL_POSITIVE,A61784213,구학마을,사상구,학장동,구학초등학교,24.045283778106107,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,HIGH,30.752291037701653,MEDIUM,0.998,DOUBLE_POSITIVE,True,HIGH,0,False,False
58.0,ROBUST_DUAL_POSITIVE,A60784207,반도보라스카이뷰,동래구,온천동,금강초등학교,18.931312162668014,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,HIGH,18.860124832765823,MEDIUM,0.998,DOUBLE_POSITIVE,True,HIGH,0,False,False
59.0,ROBUST_DUAL_POSITIVE,A60809003,오륙도에스케이뷰,남구,용호동,오륙도초등학교,8.634298940615093,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,HIGH,19.507946747690845,MEDIUM,0.996,DOUBLE_POSITIVE,True,HIGH,0,False,False
60.0,ROBUST_DUAL_POSITIVE,A60482013,몰운대,사하구,다대동,응봉초등학교,5.733074083512624,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,HIGH,19.42863393863969,HIGH,0.994,DOUBLE_POSITIVE,True,HIGH,0,False,False
61.0,ROBUST_DUAL_POSITIVE,A60883203,용호동일신님(林)Ⅱ,남구,용호동,용호초등학교,21.680084901731234,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,HIGH,14.814645120605231,MEDIUM,0.994,DOUBLE_POSITIVE,True,HIGH,0,False,False
62.0,ROBUST_DUAL_POSITIVE,A60976105,선경3,금정구,구서동,남산초등학교,12.75344117356969,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,HIGH,32.23974858970552,MEDIUM,0.994,DOUBLE_POSITIVE,True,HIGH,0,False,False
63.0,ROBUST_DUAL_POSITIVE,A60775605,동래우성,동래구,낙민동,안민초등학교,10.838313962600443,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,HIGH,15.742035259546544,MEDIUM,0.994,DOUBLE_POSITIVE,True,HIGH,0,False,False
64.0,ROBUST_DUAL_POSITIVE,A61612019,대림타운,북구,화명동,와석초등학교,21.66618858991416,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,HIGH,25.709382050249445,HIGH,0.986,DOUBLE_POSITIVE,True,HIGH,0,False,False
65.0,ROBUST_DUAL_POSITIVE,A61682907,동원,북구,만덕동,백산초등학교,13.96419375894087,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,HIGH,8.336897706080247,HIGH,0.986,DOUBLE_POSITIVE,True,HIGH,0,False,False
66.0,ROBUST_DUAL_POSITIVE,A60475408,국제그린,사하구,다대동,다송초등학교,21.10590795350491,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,HIGH,21.033478353713008,MEDIUM,0.986,DOUBLE_POSITIVE,True,HIGH,0,False,False
67.0,ROBUST_DUAL_POSITIVE,A61477009,개금우드빌,부산진구,개금동,개원초등학교,15.294879769078818,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,HIGH,33.479438709836934,MEDIUM,0.986,DOUBLE_POSITIVE,True,HIGH,0,False,False
68.0,ROBUST_DUAL_POSITIVE,A10028117,명지오션시티삼정그린코아,강서구,명지동,남명초등학교,9.058795641171802,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,HIGH,13.921764613522036,MEDIUM,0.976,DOUBLE_POSITIVE,True,HIGH,0,False,False
69.0,ROBUST_DUAL_POSITIVE,A61677608,기비골마을,북구,덕천동,만덕초등학교,17.625021778507598,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,HIGH,35.401459588483135,MEDIUM,0.97,DOUBLE_POSITIVE,True,HIGH,0,False,False
70.0,ROBUST_DUAL_POSITIVE,A60475509,다대푸른,사하구,다대동,중현초등학교,27.410049875909603,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,HIGH,11.531023049053411,HIGH,0.966,DOUBLE_POSITIVE,True,HIGH,0,False,False
71.0,ROBUST_DUAL_POSITIVE,A61996114,동일스위트3차,기장군,정관읍모전리,모전초등학교,5.330671425565736,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,HIGH,8.679803447530732,MEDIUM,0.966,DOUBLE_POSITIVE,True,HIGH,0,False,False
72.0,ROBUST_DUAL_POSITIVE,A61486008,세동한신,부산진구,연지동,연지초등학교,3.8668832770500705,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,HIGH,26.961008433070766,MEDIUM,0.964,DOUBLE_POSITIVE,True,HIGH,0,False,False
73.0,ROBUST_DUAL_POSITIVE,A61678209,그린코아,북구,만덕동,신덕초등학교,9.774586678817698,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,HIGH,22.55422387113812,MEDIUM,0.962,DOUBLE_POSITIVE,True,HIGH,0,False,False
74.0,ROBUST_DUAL_POSITIVE,A61673304,동원로얄듀크,북구,화명동,명덕초등학교,14.872449582179081,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,HIGH,23.224530126264813,MEDIUM,0.942,DOUBLE_POSITIVE,True,HIGH,0,False,False
75.0,ROBUST_DUAL_POSITIVE,A60777604,안락현대,동래구,안락동,반안초등학교,10.543098828295916,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,HIGH,28.311521033985947,MEDIUM,0.942,DOUBLE_POSITIVE,True,HIGH,0,False,False
