n,coefficient,standard_error,t_stat,p_value,ci95_low,ci95_high,r_squared,scenario,excluded_districts,predictor,outcome
248,0.00028913509956671803,0.00024216506098437323,1.1939587750248404,0.2337294148908269,-0.0001855084199626535,0.0007637786190960896,0.3538723329605432,LEAVE_ONE_OUT_동래구,동래구,broad_middle_quality_median,net_transfer_rate
31,0.0031539652682795252,0.006184327587193114,0.5099932407867511,0.6149155776561708,-0.00896731680261898,0.01527524733917803,0.31285191649336763,LEAVE_ONE_OUT_부산진구,부산진구,confirmed_middle_quality_median,adjusted_upper_grade_index
31,0.0010463679303408524,0.0012147723526920882,0.8613695628007746,0.3979259739667445,-0.0013345858809356405,0.0034273217416173453,0.5869031182857535,LEAVE_ONE_OUT_부산진구,부산진구,confirmed_middle_quality_median,adjusted_cohort_growth
31,-0.0012841219059383279,0.001949600309450033,-0.658659059353847,0.5166547953380706,-0.005105338512460393,0.0025370947005837366,0.5361845252171362,LEAVE_ONE_OUT_부산진구,부산진구,confirmed_middle_quality_median,net_transfer_rate
238,0.0022935558035164544,0.001136257608709005,2.018517443524405,0.04475672737530388,6.649089044680461e-05,0.004520620716586104,0.47002537819701395,LEAVE_ONE_OUT_부산진구,부산진구,broad_middle_quality_median,adjusted_upper_grade_index
237,0.000383004851812961,0.00016825367366202044,2.2763535765781966,0.023795855684844637,5.322765143540094e-05,0.000712782052190521,0.5491167491312394,LEAVE_ONE_OUT_부산진구,부산진구,broad_middle_quality_median,adjusted_cohort_growth
237,0.0003654797494644391,0.00022960401534336984,1.5917829177241036,0.11288247500004266,-8.454412060856576e-05,0.000815503619537444,0.35268995828956695,LEAVE_ONE_OUT_부산진구,부산진구,broad_middle_quality_median,net_transfer_rate
21,0.008671432721933409,0.007639407437982451,1.1350923212734827,0.2753970735885427,-0.006301805856512195,0.023644671300379012,0.24272334182794786,LEAVE_ONE_OUT_북구,북구,confirmed_middle_quality_median,adjusted_upper_grade_index
21,0.0018524287755580162,0.001837596230518021,1.0080717106367887,0.3305263625027148,-0.001749259836257305,0.005454117387373337,0.6154350057937203,LEAVE_ONE_OUT_북구,북구,confirmed_middle_quality_median,adjusted_cohort_growth
21,-0.0018426220432905193,0.003018175691082993,-0.6105085428705918,0.5513078244054225,-0.007758246397813185,0.004073002311232147,0.5528014869373195,LEAVE_ONE_OUT_북구,북구,confirmed_middle_quality_median,net_transfer_rate
240,0.0020823158863278995,0.0012225318513766784,1.7032815005866953,0.08992117952450288,-0.0003138465423703899,0.0044784783150261884,0.4547613331725586,LEAVE_ONE_OUT_북구,북구,broad_middle_quality_median,adjusted_upper_grade_index
239,0.0003601110937882959,0.0001847467457835738,1.9492148143716537,0.05254084094170154,-1.9925279475087126e-06,0.0007222147155241006,0.5451945915891065,LEAVE_ONE_OUT_북구,북구,broad_middle_quality_median,adjusted_cohort_growth
