apartment,legal_dong,local_market,issue_type,issue_detail,recommended_action
정관양우내안愛,정관읍용수리,LM020,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
명륜2차아이파크1단지,명륜동,LM032,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
안락경동리인,안락동,LM036,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
해운대힐스테이트위브,중동,LM092,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
협성·DS엘리시안,지사동,LM003,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
정관이지더원3차아파트,정관읍,,INSUFFICIENT_CLUSTER_FEATURES,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
가화만사성정관타운,정관읍방곡리,LM019,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
대신롯데캐슬,서대신동3가,LM073,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
감전엘에이치,감전동,,INSUFFICIENT_CLUSTER_FEATURES,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
한성기린,범일동,LM027,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
두산위브포세이돈2,범일동,LM027,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
부민e편한세상,부민동3가,LM070,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
남성한빛가든,서대신동3가,LM073,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
남부민풀리페,남부민동,,INSUFFICIENT_CLUSTER_FEATURES,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
하단동에스케이뷰,하단동,LM067,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
신평럭키무지개타운,신평동,LM065,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
당리푸르지오,당리동,LM064,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
동원로얄듀크,장림동,LM066,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
신세대지큐빌,장림동,LM066,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
한신혜성,하단동,LM067,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
3지구도개공아파트,다대동,,INSUFFICIENT_CLUSTER_FEATURES,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
도개공다대4지구영구임대아파트,다대동,,INSUFFICIENT_CLUSTER_FEATURES,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
신익강변타운,신평동,LM065,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
가락타운1,하단동,LM067,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
가락타운2,하단동,LM067,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
현대,신평동,LM065,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
장림현대(372-4),장림동,LM066,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
부영벽산파라빌,감천동,LM060,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
구평1차자유,구평동,LM062,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
5지구몰운대영구임대아파트,다대동,,INSUFFICIENT_CLUSTER_FEATURES,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
한신,신평동,LM065,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
협성르네상스,장림동,LM066,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
신영도롯데낙천대,청학동,LM086,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
영도신도브래뉴,청학동,LM086,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
조양비취맨션,동삼동,LM082,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
동삼그린힐,동삼동,LM082,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
도시공사동삼2지구영구임대아파트,동삼동,,INSUFFICIENT_CLUSTER_FEATURES,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
함지그린,동삼동,LM082,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
미광마린타워,봉래동2가,LM083,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
부산동삼1,동삼동,,INSUFFICIENT_CLUSTER_FEATURES,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
부산동삼2주공,동삼동,,INSUFFICIENT_CLUSTER_FEATURES,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
국제마마뉴비치타운,동삼동,LM082,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
절영아파트(215동-217동),동삼동,LM082,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
반도보라,영선동4가,LM085,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
동래센트럴파크하이츠2차,명륜동,LM032,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
명륜아이파크1단지,명륜동,LM032,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
