internal_complex_id,kapt_code,complex_name,households,sigungu,legal_dong,is_500plus,manual_review,elementary_school_ids,elementary_school_names,elementary_school_count,nearest_elementary_distance_m,mean_elementary_feeder_score,best_elementary_feeder_score,worst_elementary_feeder_score,middle_school_count,best_middle_score,mean_middle_score,worst_middle_score,feeder_exclusivity,assignment_data_quality,elementary_accessibility_score,shared_catchment,school_zone_score,score_quality_focused,score_stability_focused,school_score_status,school_score_quality,busan_school_rank,school_zone_percentile,school_zone_grade
TRADE_0E465B87317D,,백운집시티타워,,중구,부평동4가,,False,['S020001492'],['토성초등학교'],1,388.25169951632495,50.3894117647059,50.3894117647059,50.3894117647059,5,77.23529411764707,50.87058823529412,34.82352941176471,0.36,85.0,90.0,False,57.811529411764724,54.10047058823531,55.50922352941177,SCORED,HIGH,506.0,43.38565022421525,C
TRADE_D03D2F3E3023,,부평부백자연애,,중구,부평동4가,,False,['S020001492'],['토성초등학교'],1,351.4210346929444,50.3894117647059,50.3894117647059,50.3894117647059,5,77.23529411764707,50.87058823529412,34.82352941176471,0.36,85.0,90.0,False,57.811529411764724,54.10047058823531,55.50922352941177,SCORED,HIGH,506.0,43.38565022421525,C
TRADE_7A22C5172D09,,부평파크,,중구,부평동4가,,False,['S020001492'],['토성초등학교'],1,304.77659554949776,50.3894117647059,50.3894117647059,50.3894117647059,5,77.23529411764707,50.87058823529412,34.82352941176471,0.36,85.0,90.0,False,57.811529411764724,54.10047058823531,55.50922352941177,SCORED,HIGH,506.0,43.38565022421525,C
TRADE_D7D1EB313DCA,,예그린,,중구,부평동4가,,False,['S020001492'],['토성초등학교'],1,413.0937847198998,50.3894117647059,50.3894117647059,50.3894117647059,5,77.23529411764707,50.87058823529412,34.82352941176471,0.36,85.0,90.0,False,57.811529411764724,54.10047058823531,55.50922352941177,SCORED,HIGH,506.0,43.38565022421525,C
A61286403,A61286403,센텀이편한세상,1190.0,해운대구,재송동,True,False,['S020001906'],['송수초등학교'],1,137.5756239432022,39.87131652661064,39.87131652661064,39.87131652661064,7,98.91176470588236,47.601604278074866,16.294117647058826,0.04285714285714285,55.666666666666664,100.0,False,47.46371988795518,43.66751820728291,41.77002352941176,SCORED,MEDIUM,820.0,8.183856502242152,E
A10026557,A10026557,센텀리슈빌2단지,753.0,해운대구,재송동,True,False,['S020001906'],['송수초등학교'],1,358.24589810180805,39.87131652661064,39.87131652661064,39.87131652661064,7,98.91176470588236,47.601604278074866,16.294117647058826,0.04285714285714285,55.666666666666664,90.0,False,46.46371988795518,43.16751820728291,40.77002352941176,SCORED,MEDIUM,832.0,6.838565022421525,E
A61288701,A61288701,센텀협성르네상스타운,472.0,해운대구,재송동,False,False,['S020001906'],['송수초등학교'],1,347.499183457004,39.87131652661064,39.87131652661064,39.87131652661064,7,98.91176470588236,47.601604278074866,16.294117647058826,0.04285714285714285,55.666666666666664,90.0,False,46.46371988795518,43.16751820728291,40.77002352941176,SCORED,MEDIUM,832.0,6.838565022421525,E
A61281512,A61281512,센텀피오레1차,774.0,해운대구,재송동,True,False,['S020001906'],['송수초등학교'],1,506.7130403678993,39.87131652661064,39.87131652661064,39.87131652661064,7,98.91176470588236,47.601604278074866,16.294117647058826,0.04285714285714285,55.666666666666664,80.0,False,45.46371988795518,42.66751820728291,39.77002352941176,SCORED,MEDIUM,835.0,6.502242152466367,E
TRADE_6AED6951C5DF,,(188-0),,해운대구,재송동,,False,['S020001671'],['신재초등학교'],1,260.60291423966254,35.79262371615313,35.79262371615313,35.79262371615313,7,98.91176470588236,44.32720588235294,16.294117647058826,0.04285714285714285,49.44444444444444,100.0,False,43.578543417366944,39.68558356676004,38.53743790849673,SCORED,MEDIUM,836.0,6.390134529147982,E
TRADE_32E378FF42B5,,남양로얄타운,,해운대구,재송동,,False,['S020001671'],['신재초등학교'],1,169.12226096072797,35.79262371615313,35.79262371615313,35.79262371615313,7,98.91176470588236,44.32720588235294,16.294117647058826,0.04285714285714285,49.44444444444444,100.0,False,43.578543417366944,39.68558356676004,38.53743790849673,SCORED,MEDIUM,836.0,6.390134529147982,E
