kapt_code,complex_name,sigungu,dong,households,eligible_households,confirmed_households,priced_households,valuation_scope,market_cap_krw,partial_cap_krw,per_household_krw,status,release_status,reason,rank,district_rank,adjusted_market_cap_krw,estimated_households,adjusted_status,adjusted_scope,adjustment_source
A60777205,안락1차SK아파트,동래구,안락동,1898.0,1898.0,1898.0,1898.0,전체 분양 주거 세대,799970000000.0,799970000000.0,421480505.7955743,산정 완료,VERIFIED_MASTER,,54.0,5.0,799970000000.0,0,산정 완료,전체 분양 주거 세대,
A61176411,연산LG아파트,연제구,연산동,2302.0,2302.0,2302.0,2302.0,전체 분양 주거 세대,793795000000.0,793795000000.0,344828410.0781929,산정 완료,VERIFIED_MASTER,,55.0,6.0,793795000000.0,0,산정 완료,전체 분양 주거 세대,
A10026760,센텀비스타동원아파트,수영구,민락동,840.0,840.0,840.0,840.0,전체 분양 주거 세대,779800000000.0,779800000000.0,928333333.3333334,산정 완료,VERIFIED_MASTER,,56.0,6.0,779800000000.0,0,산정 완료,전체 분양 주거 세대,
A10026484,해운대 자이2차,해운대구,우동,813.0,743.0,743.0,743.0,분양 세대만 (임대 제외),768780000000.0,768780000000.0,1034697173.6204576,산정 완료,VERIFIED_MASTER,,57.0,16.0,768780000000.0,0,산정 완료,분양 세대만 (임대 제외),
A61377105,센텀비치푸르지오아파트,수영구,민락동,1082.0,1082.0,1082.0,1082.0,전체 분양 주거 세대,759270000000.0,759270000000.0,701728280.961183,산정 완료,VERIFIED_MASTER,,58.0,7.0,759270000000.0,0,산정 완료,전체 분양 주거 세대,
A61176513,거제1차현대홈타운,연제구,거제동,1127.0,1127.0,1127.0,1127.0,전체 분양 주거 세대,738430000000.0,738430000000.0,655217391.3043479,산정 완료,VERIFIED_MASTER,,59.0,7.0,738430000000.0,0,산정 완료,전체 분양 주거 세대,
A61685214,화명코오롱하늘채2차,북구,화명동,1344.0,1344.0,1344.0,1344.0,전체 분양 주거 세대,730220000000.0,730220000000.0,543318452.3809524,산정 완료,VERIFIED_MASTER,,60.0,6.0,730220000000.0,0,산정 완료,전체 분양 주거 세대,
A61776509,엄궁롯데캐슬리버아파트,사상구,엄궁동,1852.0,1852.0,1852.0,1852.0,전체 분양 주거 세대,728060000000.0,728060000000.0,393120950.3239741,산정 완료,VERIFIED_MASTER,,61.0,1.0,728060000000.0,0,산정 완료,전체 분양 주거 세대,
A10025433,수영sk뷰 1단지,수영구,망미동,1147.0,1147.0,1147.0,1147.0,전체 분양 주거 세대,725575000000.0,725575000000.0,632585004.3591979,산정 완료,VERIFIED_MASTER,,62.0,8.0,725575000000.0,0,산정 완료,전체 분양 주거 세대,
A61278912,대우마리나3차아파트,해운대구,우동,750.0,750.0,750.0,750.0,전체 분양 주거 세대,723750000000.0,723750000000.0,965000000.0,산정 완료,VERIFIED_MASTER,,63.0,17.0,723750000000.0,0,산정 완료,전체 분양 주거 세대,
A61479104,양정현대2차아파트,부산진구,양정동,1901.0,1901.0,1901.0,1901.0,전체 분양 주거 세대,700900000000.0,700900000000.0,368700683.85060495,산정 완료,VERIFIED_MASTER,,64.0,4.0,700900000000.0,0,산정 완료,전체 분양 주거 세대,
A61203036,두산1차,해운대구,좌동,1422.0,1422.0,1422.0,1422.0,전체 분양 주거 세대,687060000000.0,687060000000.0,483164556.96202534,산정 완료,VERIFIED_MASTER,,65.0,18.0,687060000000.0,0,산정 완료,전체 분양 주거 세대,
A10027341,사직KCC스위첸,동래구,사직동,999.0,999.0,999.0,999.0,전체 분양 주거 세대,685547500000.0,685547500000.0,686233733.7337338,산정 완료,VERIFIED_MASTER,,66.0,6.0,685547500000.0,0,산정 완료,전체 분양 주거 세대,
A60931004,구서동 쌍용예가 2단지,금정구,구서동,809.0,809.0,809.0,809.0,전체 분양 주거 세대,677410000000.0,677410000000.0,837342398.0222497,산정 완료,VERIFIED_MASTER,,67.0,5.0,677410000000.0,0,산정 완료,전체 분양 주거 세대,
A61274213,해운대롯데아파트,해운대구,우동,852.0,852.0,852.0,852.0,전체 분양 주거 세대,674730000000.0,674730000000.0,791936619.7183099,산정 완료,VERIFIED_MASTER,,68.0,19.0,674730000000.0,0,산정 완료,전체 분양 주거 세대,
A61404007,서면롯데캐슬스카이,부산진구,전포동,1395.0,1395.0,1395.0,1395.0,전체 분양 주거 세대,659750000000.0,659750000000.0,472939068.1003584,산정 완료,VERIFIED_MASTER,,69.0,5.0,659750000000.0,0,산정 완료,전체 분양 주거 세대,
A61274114,경동마리나아파트,해운대구,우동,892.0,892.0,892.0,892.0,전체 분양 주거 세대,659415000000.0,659415000000.0,739254484.3049327,산정 완료,VERIFIED_MASTER,,70.0,20.0,659415000000.0,0,산정 완료,전체 분양 주거 세대,
A10022999,대연푸르지오클라센트,남구,대연동,1057.0,998.0,998.0,998.0,분양 세대만 (임대 제외),651790000000.0,651790000000.0,653096192.3847696,산정 완료,VERIFIED_MASTER,,71.0,6.0,651790000000.0,0,산정 완료,분양 세대만 (임대 제외),
A61201007,롯데캐슬마린,해운대구,중동,792.0,792.0,792.0,792.0,전체 분양 주거 세대,640500000000.0,640500000000.0,808712121.2121212,산정 완료,VERIFIED_MASTER,,72.0,21.0,640500000000.0,0,산정 완료,전체 분양 주거 세대,
A61313002,망미동the#파크리치,수영구,망미동,862.0,862.0,862.0,862.0,전체 분양 주거 세대,639465000000.0,639465000000.0,741838747.0997679,산정 완료,VERIFIED_MASTER,,73.0,9.0,639465000000.0,0,산정 완료,전체 분양 주거 세대,
A60402003,하단 SK VIEW 아파트,사하구,하단동,1828.0,1828.0,1828.0,1828.0,전체 분양 주거 세대,631745000000.0,631745000000.0,345593544.85776806,산정 완료,VERIFIED_MASTER,,74.0,3.0,631745000000.0,0,산정 완료,전체 분양 주거 세대,
A61274011,경남마리나아파트,해운대구,우동,624.0,624.0,624.0,624.0,전체 분양 주거 세대,624320000000.0,624320000000.0,1000512820.5128205,산정 완료,VERIFIED_MASTER,,75.0,22.0,624320000000.0,0,산정 완료,전체 분양 주거 세대,
A61776303,주례럭키아파트,사상구,주례동,2293.0,1962.0,1962.0,1962.0,분양 세대만 (임대 제외),612367500000.0,612367500000.0,312113914.37308866,산정 완료,VERIFIED_MASTER,,76.0,2.0,612367500000.0,0,산정 완료,분양 세대만 (임대 제외),
A61203034,해운대대동타운아파트,해운대구,좌동,1240.0,1240.0,1240.0,1240.0,전체 분양 주거 세대,611200000000.0,611200000000.0,492903225.8064516,산정 완료,VERIFIED_MASTER,,77.0,23.0,611200000000.0,0,산정 완료,전체 분양 주거 세대,
A61288603,래미안해운대,해운대구,중동,747.0,681.0,681.0,681.0,분양 세대만 (임대 제외),607755000000.0,607755000000.0,892444933.9207048,산정 완료,VERIFIED_MASTER,,78.0,24.0,607755000000.0,0,산정 완료,분양 세대만 (임대 제외),
A61612013,화명코오롱하늘채1차아파트,북구,화명동,1280.0,1280.0,1280.0,1280.0,전체 분양 주거 세대,597100000000.0,597100000000.0,466484375.0,산정 완료,VERIFIED_MASTER,,79.0,7.0,597100000000.0,0,산정 완료,전체 분양 주거 세대,
A61203025,해운대벽산1차아파트,해운대구,좌동,880.0,880.0,880.0,880.0,전체 분양 주거 세대,586060000000.0,586060000000.0,665977272.7272727,산정 완료,VERIFIED_MASTER,,80.0,25.0,586060000000.0,0,산정 완료,전체 분양 주거 세대,
A61271101,센텀삼환아파트,해운대구,우동,926.0,926.0,926.0,926.0,전체 분양 주거 세대,584440000000.0,584440000000.0,631144708.4233261,산정 완료,VERIFIED_MASTER,,81.0,26.0,584440000000.0,0,산정 완료,전체 분양 주거 세대,
A60970301,부곡대우아파트,금정구,부곡동,1270.0,1270.0,1270.0,1270.0,전체 분양 주거 세대,578290000000.0,578290000000.0,455346456.6929134,산정 완료,VERIFIED_MASTER,,82.0,6.0,578290000000.0,0,산정 완료,전체 분양 주거 세대,
A61475403,양정현대1차아파트,부산진구,양정동,1733.0,1733.0,1733.0,1733.0,전체 분양 주거 세대,574282500000.0,574282500000.0,331380553.9526832,산정 완료,VERIFIED_MASTER,,83.0,6.0,574282500000.0,0,산정 완료,전체 분양 주거 세대,
