kapt_code,kapt_name,audited_status,in_master,in_rental,in_pending
A60475408,국제그린아파트,MASTER_INCLUDED,True,False,False
A60475411,도개공다대4지구영구임대아파트,EXCLUDED_RENTAL_ONLY,False,True,False
A60475412,다대다송,MASTER_INCLUDED,True,False,False
A60475507,다대대우아파트,MASTER_INCLUDED,True,False,False
A60475509,다대푸른아파트,MASTER_INCLUDED,True,False,False
A60475612,다대현대아파트,MASTER_INCLUDED,True,False,False
A60475710,다대삼환아파트,MASTER_INCLUDED,True,False,False
A60476511,다대자유아파트,MASTER_INCLUDED,True,False,False
A60476604,다대코오롱아파트(코오롱맨션),MASTER_INCLUDED,True,False,False
A60482013,다대몰운대아파트,MASTER_INCLUDED,True,False,False
A60482708,성원아파트,MASTER_INCLUDED,True,False,False
A60482712,5지구몰운대영구임대아파트,EXCLUDED_RENTAL_ONLY,False,True,False
A10024185,부산사하중흥S-클래스,EXCLUDED_RENTAL_ONLY,False,True,False
A10026651,e-편한세상 사하2차 아파트,MASTER_INCLUDED,True,False,False
A10027306,대림e편한세상사하1차아파트,MASTER_INCLUDED,True,False,False
A60481703,구평1차자유아파트,MASTER_INCLUDED,True,False,False
A60480608,부영벽산파라빌아파트,MASTER_INCLUDED,True,False,False
A60976902,청룡경동아파트,MASTER_INCLUDED,True,False,False
A10027325,구서 SK VIEW 1단지,MASTER_INCLUDED,True,False,False
A60931004,구서동 쌍용예가 2단지,MASTER_INCLUDED,True,False,False
A60931207,구서동롯데캐슬골드2단지(1049),MASTER_INCLUDED,True,False,False
A60971101,롯데캐슬골드1단지,MASTER_INCLUDED,True,False,False
A60975204,구서선경아파트,MASTER_INCLUDED,True,False,False
A60976105,구서선경3차아파트,MASTER_INCLUDED,True,False,False
A60980506,구서우성아파트,MASTER_INCLUDED,True,False,False
A10026780,래미안 장전,MASTER_INCLUDED,True,False,False
A60939002,금정산sk뷰,MASTER_INCLUDED,True,False,False
A60939003,벽산블루밍장전디자인시티,MASTER_INCLUDED,True,False,False
A60939004,금정산쌍용예가,MASTER_INCLUDED,True,False,False
A60939005,금정산 2차 쌍용 예가,MASTER_INCLUDED,True,False,False
A10024226,삼한골든뷰에듀스테이션,MASTER_INCLUDED,True,False,False
A60932003,부곡동푸르지오아파트,MASTER_INCLUDED,True,False,False
A60970301,부곡대우아파트,MASTER_INCLUDED,True,False,False
A60975303,경남한신,MASTER_INCLUDED,True,False,False
A60975404,부곡뉴그린아파트,MASTER_INCLUDED,True,False,False
A60975502,부곡SK아파트,MASTER_INCLUDED,True,False,False
A60976501,부곡시영,EXCLUDED_RENTAL_ONLY,False,True,False
A60976502,부곡늘푸른아파트,FINAL_PENDING,False,False,True
A60982103,우신뉴타운,MASTER_INCLUDED,True,False,False
A10020020,부산에코델타시티 디에트르 더 퍼스트아파트,MASTER_INCLUDED,True,False,False
A10020264,에코델타 더 베르힐 아파트,MASTER_INCLUDED,True,False,False
A10020378,에코델타시티 푸르지오린,MASTER_INCLUDED,True,False,False
A10020569,에코델타시티 푸르지오 센터파크,MASTER_INCLUDED,True,False,False
A10020645,강서자이 에코델타,MASTER_INCLUDED,True,False,False
A10020649,e편한세상 에코델타 센터포인트,MASTER_INCLUDED,True,False,False
A10022541,에코델타 스마트시티 수자인,MASTER_INCLUDED,True,False,False
A10022696,부산호반써밋스마트시티아파트,MASTER_INCLUDED,True,False,False
A10024664,더샵명지퍼스트월드3단지,MASTER_INCLUDED,True,False,False
A10024697,더샵명지퍼스트월드2단지아파트,MASTER_INCLUDED,True,False,False
A10025776,더 힐 시그니처,MASTER_INCLUDED,True,False,False
A10025923,스위트팰리스,MASTER_INCLUDED,True,False,False
A10025932,명지금강펜테리움센트럴파크3차,EXCLUDED_RENTAL_ONLY,False,True,False
