kapt_code,kapt_name,kapt_households,master_households,difference,audit_result,detailed_cause
A61612010,화명2차현대아파트,743,743,0,PASS,K-apt 총세대수와 100% exact 일치
A61612011,화명대우이안아파트,989,989,0,PASS,K-apt 총세대수와 100% exact 일치
A61612013,화명코오롱하늘채1차아파트,1280,1280,0,PASS,K-apt 총세대수와 100% exact 일치
A61612016,화명수정강변타운,1780,1780,0,PASS,K-apt 총세대수와 100% exact 일치
A61612017,대림쌍용강변타운,1895,1895,0,PASS,K-apt 총세대수와 100% exact 일치
A61612018,화명롯데낙천대,1950,1950,0,PASS,K-apt 총세대수와 100% exact 일치
A61612019,화명대림타운,3382,3382,0,PASS,K-apt 총세대수와 100% exact 일치
A61673302,삼한힐파크아파트,807,807,0,PASS,K-apt 총세대수와 100% exact 일치
A61673304,화명동원로얄듀크,1627,1627,0,PASS,K-apt 총세대수와 100% exact 일치
A61673305,화명유림아파트,506,506,0,PASS,K-apt 총세대수와 100% exact 일치
A61673308,화명롯데캐슬카이저,5239,5239,0,PASS,K-apt 총세대수와 100% exact 일치
A61679206,벽산강변타운아파트,1044,1044,0,PASS,K-apt 총세대수와 100% exact 일치
A61679207,도시화명그린(21B)아파트,720,720,0,PASS,K-apt 총세대수와 100% exact 일치
A61679208,화명경남아너스빌,570,570,0,PASS,K-apt 총세대수와 100% exact 일치
A61683305,그린숲속(화명그린24),900,900,0,PASS,K-apt 총세대수와 100% exact 일치
A61685214,화명코오롱하늘채2차,1344,1344,0,PASS,K-apt 총세대수와 100% exact 일치
A10023725,백양산 베스티움에코포레,593,593,0,PASS,K-apt 총세대수와 100% exact 일치
A10024318,e편한세상 금정산 아파트,1969,1239,-730,PASS,혼합단지 분양(sale_apartment) 세대수 분리 적재
A10025235,더래디언트금정산,1677,1677,0,PASS,K-apt 총세대수와 100% exact 일치
A61673103,신만덕쌍용예가,600,600,0,PASS,K-apt 총세대수와 100% exact 일치
A61675601,만덕 상록한신휴플러스아파트,882,882,0,PASS,K-apt 총세대수와 100% exact 일치
A61675806,만덕삼성아파트,600,600,0,PASS,K-apt 총세대수와 100% exact 일치
A61678209,만덕그린코아아파트,1468,1468,0,PASS,K-apt 총세대수와 100% exact 일치
A61678706,럭키만덕1차아파트,900,900,0,PASS,K-apt 총세대수와 100% exact 일치
A61678804,럭키만덕2차아파트,714,714,0,PASS,K-apt 총세대수와 100% exact 일치
A61682607,만덕대성타워,816,816,0,PASS,K-apt 총세대수와 100% exact 일치
A61682907,만덕동원,988,988,0,PASS,K-apt 총세대수와 100% exact 일치
A61682908,벽산라인타운 아파트,1166,1166,0,PASS,K-apt 총세대수와 100% exact 일치
A10022905,포레나부산덕천2차,795,795,0,PASS,K-apt 총세대수와 100% exact 일치
A10023684,포레나부산덕천아파트,636,636,0,PASS,K-apt 총세대수와 100% exact 일치
A61610003,덕천동롯데아파트,705,705,0,PASS,K-apt 총세대수와 100% exact 일치
A61670501,덕천삼정그린코아,560,560,0,PASS,K-apt 총세대수와 100% exact 일치
A61677608,기비골마을아파트,825,825,0,PASS,K-apt 총세대수와 100% exact 일치
