kapt_code,area_group_id,exclusive_area_sqm,supply_area_sqm,type_name,households,source,verified_at,valid_from,valid_to,verification_status,scope,notes
A61486301,exclusive_84.86,84.86,111.6,33평A1,90.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=14284,2026-09-18,,,verified,sale_apartment,
A61486301,exclusive_84.97,84.97,111.72,33평B,133.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=14284,2026-09-18,,,verified,sale_apartment,
A61486301,exclusive_126.72,126.72,161.8,48평,70.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=14284,2026-09-18,,,verified,sale_apartment,
A61486301,exclusive_128.91,128.91,164.96,49평,58.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=14284,2026-09-18,,,verified,sale_apartment,
A61473002,exclusive_59.9,59.9,89.91,27평,322.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=5514,2026-09-18,,,verified,sale_apartment,
A61473002,exclusive_71.02,71.02,106.61,32평,23.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=5514,2026-09-18,,,verified,sale_apartment,
A61473002,exclusive_78.76,78.76,118.23,35평,46.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=5514,2026-09-18,,,verified,sale_apartment,
A61473002,exclusive_84.64,84.64,127.05,38평,345.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=5514,2026-09-18,,,verified,sale_apartment,
A61473002,exclusive_122.84,122.84,151.62,45평,46.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=5514,2026-09-18,,,verified,sale_apartment,
A10023750,exclusive_59.99,59.99,79.88,24평,241.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=46959,2026-09-18,,,verified,sale_apartment,
A10023750,exclusive_69.99,69.99,92.73,28평,180.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=46959,2026-09-18,,,verified,sale_apartment,
A10023750,exclusive_84.96,84.96,112.06,33평B,218.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=46959,2026-09-18,,,verified,sale_apartment,
A10023750,exclusive_84.99,84.99,112.41,34평A,359.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=46959,2026-09-18,,,verified,sale_apartment,
A10027052,exclusive_30.14,30.14,58.43,17평F,48.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=29268,2026-09-18,,,verified,sale_apartment,
A10027052,exclusive_59.89,59.89,84.44,25평E,18.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=29268,2026-09-18,,,verified,sale_apartment,
A10027052,exclusive_59.8,59.8,84.61,25평C,245.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=29268,2026-09-18,,,verified,sale_apartment,
A10027052,exclusive_59.79,59.79,85.77,25평D,163.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=29268,2026-09-18,,,verified,sale_apartment,
A10027052,exclusive_62.76,62.76,88.89,26평B,108.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=29268,2026-09-18,,,verified,sale_apartment,
A10027052,exclusive_74.7,74.7,102.31,30평A,48.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=29268,2026-09-18,,,verified,sale_apartment,
A61476002,exclusive_59.94,59.94,78.57,23평,700.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=5508,2026-09-18,,,verified,sale_apartment,
A61476002,exclusive_84.93,84.93,105.72,31평,200.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=5508,2026-09-18,,,verified,sale_apartment,
A61476002,exclusive_119,119.0,142.93,43평,50.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=5508,2026-09-18,,,verified,sale_apartment,
A61483202,exclusive_84.87,84.87,106.18,32평D,71.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=14814,2026-09-18,,,verified,sale_apartment,
A61483202,exclusive_84.98,84.98,106.48,32평A,109.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=14814,2026-09-18,,,verified,sale_apartment,
A61483202,exclusive_84.78,84.78,106.55,32평B,57.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=14814,2026-09-18,,,verified,sale_apartment,
A61483202,exclusive_84.91,84.91,107.73,32평C,36.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=14814,2026-09-18,,,verified,sale_apartment,
A61483202,exclusive_84.65,84.65,111.02,33평E,72.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=14814,2026-09-18,,,verified,sale_apartment,
A61483202,exclusive_117.02,117.02,150.1,45평B,31.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=14814,2026-09-18,,,verified,sale_apartment,
A61483202,exclusive_119.73,119.73,151.29,45평C,34.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=14814,2026-09-18,,,verified,sale_apartment,
A61483202,exclusive_118.02,118.02,151.94,45평A,108.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=14814,2026-09-18,,,verified,sale_apartment,
