학구ID,학교ID,학교명,학교급구분,시도교육청코드,시도교육청명,교육지원청코드,교육지원청명,데이터기준일자
Z000105612,B000007609,벽방초등학교,초등학교,9010000,경상남도교육청,9071000,경상남도통영교육지원청,2025-09-22
Z000100992,B000002878,대구대곡초등학교,초등학교,7240000,대구광역시교육청,7271000,대구광역시남부교육지원청,2025-09-22
Z000100352,B000002219,서울신곡초등학교,초등학교,7010000,서울특별시교육청,7081300,서울특별시강서양천교육지원청,2025-09-22
Z000103156,B000004988,조산초등학교,초등학교,7801000,강원특별자치도교육청,7863000,강원특별자치도속초양양교육지원청,2025-09-22
Z000151583,B000004988,조산초등학교,초등학교,7801000,강원특별자치도교육청,7863000,강원특별자치도속초양양교육지원청,2025-09-22
Z000100935,B000002829,대구구암초등학교,초등학교,7240000,대구광역시교육청,7261000,대구광역시서부교육지원청,2025-09-22
Z000102073,B000004263,하안초등학교,초등학교,7530000,경기도교육청,7591000,경기도광명교육지원청,2025-09-22
Z000100951,B000002854,대구북부초등학교,초등학교,7240000,대구광역시교육청,7261000,대구광역시서부교육지원청,2025-09-22
Z000100306,B000002135,서울잠실초등학교,초등학교,7010000,서울특별시교육청,7130000,서울특별시강동송파교육지원청,2025-09-22
Z000103306,B000005161,장흥초등학교,초등학교,7801000,강원특별자치도교육청,7932000,강원특별자치도철원교육지원청,2025-09-22
Z000151477,B000005161,장흥초등학교,초등학교,7801000,강원특별자치도교육청,7932000,강원특별자치도철원교육지원청,2025-09-22
Z000151476,B000005161,장흥초등학교,초등학교,7801000,강원특별자치도교육청,7932000,강원특별자치도철원교육지원청,2025-09-22
Z000102931,B000004389,안성초등학교,초등학교,7530000,경기도교육청,7761000,경기도안성교육지원청,2025-09-22
Z000150874,B000007152,영천초등학교,초등학교,8750000,경상북도교육청,8821000,경상북도영천교육지원청,2025-09-22
Z000102930,B000004405,서운초등학교,초등학교,7530000,경기도교육청,7761000,경기도안성교육지원청,2025-09-22
Z000100058,B000001894,서울불광초등학교,초등학교,7010000,서울특별시교육청,7031000,서울특별시서부교육지원청,2025-09-22
Z000100846,B000002722,죽성초등학교,초등학교,7150000,부산광역시교육청,7211000,부산광역시해운대교육지원청,2025-09-22
Z000100906,B000002752,대구용호초등학교,초등학교,7240000,대구광역시교육청,7251000,대구광역시동부교육지원청,2025-09-22
Z000100307,B000002131,서울잠일초등학교,초등학교,7010000,서울특별시교육청,7130000,서울특별시강동송파교육지원청,2025-09-22
Z000100713,B000002601,연신초등학교,초등학교,7150000,부산광역시교육청,7191000,부산광역시동래교육지원청,2025-09-22
Z000104784,B000006705,송지초등학교,초등학교,8490000,전라남도교육청,8641000,전라남도해남교육지원청,2025-09-22
Z000150495,B000006705,송지초등학교,초등학교,8490000,전라남도교육청,8641000,전라남도해남교육지원청,2025-09-22
Z000150496,B000006705,송지초등학교,초등학교,8490000,전라남도교육청,8641000,전라남도해남교육지원청,2025-09-22
