kapt_code,kapt_name,final_status,master_included,excluded,pending,verification_source,area_row_count,notes
A61678706,럭키만덕1차아파트,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,2,
A61678804,럭키만덕2차아파트,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,1,
A61679609,부산만덕3단지 주공아파트,EXCLUDED_RENTAL_ONLY,False,True,False,공공/국민임대 공식확인,0,
A61682607,만덕대성타워,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,4,
A61682907,만덕동원,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,3,
A61682908,벽산라인타운 아파트,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,5,
A10022905,포레나부산덕천2차,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,9,
A10023684,포레나부산덕천아파트,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,5,
A61610003,덕천동롯데아파트,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,3,
A61670501,덕천삼정그린코아,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,6,
A61677404,덕천주공2단지,EXCLUDED_RENTAL_ONLY,False,True,False,공공/국민임대 공식확인,0,
A61677608,기비골마을아파트,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,2,
A61681409,부산도시공사 덕천2지구 아파트,EXCLUDED_RENTAL_ONLY,False,True,False,공공/국민임대 공식확인,0,
A61682303,덕천주공1단지아파트,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,8,
A10024201,리버파크반도유보라,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,7,
A61609002,동원로얄듀크비스타,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,4,
A61609206,구포유림노르웨이숲,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,3,
A61680705,구포삼정그린코아아파트,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,5,
A61680707,구포현대아파트,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,6,
A61273009,부산도시공사 반송영구임대아파트,EXCLUDED_RENTAL_ONLY,False,True,False,공공/국민임대 공식확인,0,
A61273306,벽산삼협한솔,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,1,
A61273507,반송삼한2차,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,3,
A61273609,부산반송주공,EXCLUDED_RENTAL_ONLY,False,True,False,공공/국민임대 공식확인,0,
A61280805,삼한그린타운1차아파트,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,1,
A10022405,드파인센텀아파트,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,8,
A10023647,센텀KCC스위첸아파트,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,6,
A10024249,센텀트루엘 아파트,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,6,
A61206110,센텀롯데캐슬3차,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,3,
A61206113,우방신세계타운아파트,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,6,
A61206114,센텀롯데캐슬2차,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,5,
A61206118,메가센텀꿈에그린아파트,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,9,
A61270515,센텀롯데캐슬,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,6,
A61271919,아시아선수촌아파트,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,9,
A61272011,반여현대그린아파트,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,7,
A61279802,일동미라주,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,1,
